,State,Agency Type,City,Population1,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Crimes Against Persons,Kidnapping/ Abduction,Sex Offenses,"Sex Offenses, Nonforcible",Burglary/ Breaking & Entering,Destruction/ Damage/ Vandalism,Fraud Offenses,Credit Card/ Automated Teller Machine Fraud,Theft From Building,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Violations,Weapon Law Violations
100,ARKANSAS,Cities,Mena,5745.0,160,537.0,38.0,147,4.0,8.0,2.0,109.0,51.0,8.0,4.0,77.0,10.0,2.0,13.0,20.0,4.0
101,ARKANSAS,Cities,Mineral Springs,1221.0,13,27.0,7.0,13,2.0,6.0,2.0,10.0,7.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0
102,ARKANSAS,Cities,Monticello,9482.0,170,638.0,90.0,162,4.0,4.0,2.0,111.0,122.0,34.0,11.0,22.0,7.0,4.0,1.0,62.0,21.0
103,ARKANSAS,Cities,Morrilton,6792.0,250,484.0,208.0,239,3.0,8.0,2.0,36.0,97.0,28.0,13.0,79.0,6.0,3.0,8.0,148.0,14.0
104,ARKANSAS,Cities,Mountain Home,12501.0,148,869.0,191.0,133,2.0,15.0,2.0,32.0,133.0,48.0,13.0,3.0,12.0,3.0,2.0,138.0,3.0
105,ARKANSAS,Cities,Mountain View,2804.0,59,147.0,37.0,55,2.0,4.0,2.0,22.0,24.0,8.0,4.0,11.0,3.0,3.0,1.0,27.0,4.0
106,ARKANSAS,Cities,Mulberry,1660.0,73,113.0,9.0,68,1.0,4.0,2.0,34.0,12.0,4.0,4.0,13.0,6.0,1.0,3.0,5.0,1.0
107,ARKANSAS,Cities,Murfreesboro,1644.0,10,14.0,57.0,9,2.0,1.0,2.0,25.5,2.0,1.0,6.0,13.0,6.0,3.0,3.0,33.0,4.0
108,ARKANSAS,Cities,Nashville,4678.0,40,390.0,67.0,35,2.0,5.0,2.0,66.0,30.0,16.0,13.0,6.0,1.0,1.0,7.0,44.0,9.0
109,ARKANSAS,Cities,Newport,7862.0,294,897.0,93.0,281,2.0,11.0,2.0,154.0,193.0,11.0,11.0,13.0,19.0,13.0,3.0,57.0,19.0
110,ARKANSAS,Cities,North Little Rock,63125.0,"1,821",7746.0,858.0,"1,781",11.0,14.0,6.0,1188.0,1419.0,287.0,211.0,429.0,369.0,179.0,176.0,529.0,162.0
111,ARKANSAS,Cities,Osceola,7702.0,238,754.0,80.0,224,2.0,10.0,2.0,195.0,202.0,30.0,12.0,19.0,10.0,5.0,1.0,56.0,9.0
112,ARKANSAS,Cities,Ozark,3683.0,147,307.0,41.0,135,2.0,12.0,2.0,46.0,53.0,29.0,22.0,43.0,4.0,1.0,5.0,28.0,2.0
113,ARKANSAS,Cities,Pangburn,611.0,14,37.0,6.0,14,2.0,6.0,2.0,8.0,2.0,1.0,1.0,6.0,1.0,3.0,3.0,6.0,4.0
114,ARKANSAS,Cities,Paragould,26602.0,"1,017",2950.0,147.0,974,2.0,30.0,7.0,580.0,623.0,89.0,53.0,13.0,88.0,16.0,10.0,92.0,23.0
115,ARKANSAS,Cities,Paris,3535.0,66,269.0,41.0,65,2.0,1.0,2.0,75.0,27.0,7.0,3.0,25.0,7.0,3.0,10.0,22.0,4.0
116,ARKANSAS,Cities,Parkin,1103.0,21,55.0,38.0,21,2.0,6.0,2.0,23.0,9.0,3.0,6.0,13.0,6.0,3.0,3.0,22.0,4.0
117,ARKANSAS,Cities,Pea Ridge,4948.0,99,171.0,51.0,93,1.0,5.0,2.0,36.0,43.0,8.0,6.0,7.0,2.0,1.0,6.0,27.0,4.0
118,ARKANSAS,Cities,Perryville,1461.0,21,40.0,2.0,21,2.0,6.0,2.0,3.0,7.0,1.0,6.0,5.0,1.0,3.0,3.0,1.0,1.0
119,ARKANSAS,Cities,Piggott,3813.0,26,161.0,15.0,26,2.0,6.0,2.0,40.0,41.0,4.0,2.0,14.0,6.0,3.0,2.0,8.0,1.0
120,ARKANSAS,Cities,Pine Bluff,48522.0,"2,859",7454.0,401.0,"2,772",7.0,52.0,12.0,1121.0,2431.0,361.0,204.0,13.0,184.0,136.0,72.0,235.0,93.0
121,ARKANSAS,Cities,Plummerville,830.0,28,26.0,15.0,23,2.0,3.0,2.0,3.0,5.0,5.0,2.0,2.0,6.0,3.0,1.0,6.0,2.0
122,ARKANSAS,Cities,Pocahontas,6650.0,19,9.0,27.0,19,2.0,6.0,2.0,2.0,38.0,1.0,6.0,13.0,6.0,3.0,3.0,22.0,2.0
123,ARKANSAS,Cities,Pottsville,2877.0,23,54.0,6.0,21,1.0,1.0,2.0,29.0,6.0,2.0,1.0,8.0,1.0,3.0,1.0,2.0,4.0
124,ARKANSAS,Cities,Prairie Grove,4497.0,74,114.0,56.0,65,2.0,2.0,2.0,13.0,14.0,7.0,6.0,3.0,2.0,3.0,1.0,32.0,2.0
125,ARKANSAS,Cities,Prescott,3317.0,73,202.0,14.0,67,2.0,6.0,2.0,42.0,26.0,6.0,2.0,24.0,1.0,4.0,2.0,12.0,2.0
126,ARKANSAS,Cities,Quitman,764.0,20,34.0,16.0,20,2.0,6.0,2.0,1.0,6.0,13.0,6.0,5.0,1.0,3.0,3.0,11.0,2.0
127,ARKANSAS,Cities,Redfield,1280.0,10,65.0,14.0,10,2.0,6.0,2.0,14.0,13.0,4.0,4.0,2.0,4.0,3.0,1.0,11.0,4.0
128,ARKANSAS,Cities,Rison,1349.0,10,59.0,0.0,10,2.0,6.0,2.0,23.0,10.0,13.0,6.0,8.0,1.0,1.0,3.0,25.0,4.0
129,ARKANSAS,Cities,Rogers,57757.0,644,2918.0,406.0,539,7.0,98.0,2.0,321.0,404.0,245.0,104.0,13.0,53.0,11.0,19.0,240.0,19.0
130,ARKANSAS,Cities,Russellville,28267.0,411,1906.0,302.0,384,3.0,24.0,2.0,264.0,387.0,114.0,90.0,13.0,61.0,6.0,14.0,172.0,21.0
131,ARKANSAS,Cities,Sheridan,4655.0,113,215.0,12.0,106,2.0,5.0,2.0,55.0,19.0,13.0,10.0,16.0,3.0,1.0,5.0,7.0,1.0
132,ARKANSAS,Cities,Sherwood,29914.0,553,1504.0,384.0,538,2.0,13.0,2.0,156.0,163.0,185.0,106.0,11.0,48.0,12.0,33.0,311.0,68.0
133,ARKANSAS,Cities,Siloam Springs,15497.0,290,643.0,114.0,269,2.0,19.0,2.0,109.0,66.0,29.0,19.0,78.0,19.0,4.0,11.0,63.0,11.0
134,ARKANSAS,Cities,Springdale,71668.0,"1,803",4262.0,657.0,"1,615",20.0,156.0,10.0,461.0,1013.0,268.0,96.0,13.0,146.0,30.0,50.0,347.0,50.0
135,ARKANSAS,Cities,Stamps,1671.0,29,57.0,7.0,28,2.0,1.0,2.0,20.0,13.0,2.0,6.0,2.0,6.0,3.0,1.0,6.0,1.0
136,ARKANSAS,Cities,Star City,2258.0,26,35.0,10.0,25,2.0,1.0,2.0,13.0,2.0,1.0,6.0,5.0,6.0,1.0,3.0,4.0,1.0
137,ARKANSAS,Cities,Swifton,794.0,2,1.0,18.0,2,2.0,6.0,2.0,25.5,38.0,13.0,6.0,13.0,6.0,3.0,3.0,13.0,1.0
138,ARKANSAS,Cities,Texarkana,30231.0,"1,697",2757.0,270.0,"1,673",7.0,10.0,6.0,439.0,456.0,96.0,57.0,13.0,98.0,46.0,32.0,171.0,33.0
139,ARKANSAS,Cities,Trumann,7250.0,183,778.0,194.0,168,1.0,12.0,2.0,135.0,150.0,23.0,13.0,44.0,9.0,6.0,22.0,127.0,6.0
140,ARKANSAS,Cities,Van Buren,22877.0,462,1074.0,228.0,440,1.0,20.0,2.0,190.0,175.0,42.0,18.0,21.0,33.0,6.0,15.0,146.0,8.0
141,ARKANSAS,Cities,Vilonia,3939.0,46,154.0,120.0,41,2.0,4.0,1.0,35.0,22.0,20.0,18.0,18.0,1.0,3.0,7.0,61.0,10.0
142,ARKANSAS,Cities,Waldron,3644.0,133,384.0,68.0,127,2.0,6.0,2.0,84.0,77.0,10.0,4.0,5.0,8.0,1.0,11.0,46.0,4.0
143,ARKANSAS,Cities,Walnut Ridge,4842.0,37,113.0,8.0,32,1.0,4.0,2.0,20.0,17.0,2.0,1.0,11.0,1.0,1.0,2.0,5.0,4.0
